KOREA, REPUBLIC OF	 Asia
BERMUDA	 Americas
CAYMAN ISLANDS	 Americas
AMERICAN SAMOA	 Oceania
BRUNEI DARUSSALAM	 Asia
TIMOR-LESTE	 Asia
PITCAIRN	 Oceania
ANGUILLA	 Americas
SAINT BARTHÉLEMY	 Americas
BOLIVIA, PLURINATIONAL STATE OF	 Americas
TURKS AND CAICOS ISLANDS	 Americas
VIET NAM	 Asia
VIRGIN ISLANDS, U.S.	 Americas
MARTINIQUE	 Americas
GUAM	 Oceania
VIRGIN ISLANDS, BRITISH	 Americas
PUERTO RICO	 Americas
COOK ISLANDS	 Oceania
TOKELAU	 Oceania
NETHERLANDS ANTILLES	 Americas
NORTHERN MARIANA ISLANDS	 Oceania
SAINT MARTIN (FRENCH PART)	 Americas
MICRONESIA, FEDERATED STATES OF	 Oceania
FRENCH GUIANA	 Americas
ARUBA	 Americas
NIUE	 Oceania
GUADELOUPE	 Americas
MACAO	 Asia
TAIWAN, PROVINCE OF CHINA	 Asia
NEW CALEDONIA   Oceania
WALLIS AND FUTUNA   Oceania
CURAÇAO	 Americas
FRENCH POLYNESIA	 Oceania
VENEZUELA, BOLIVARIAN REPUBLIC OF	 Americas
MONTSERRAT	 Americas
MYANMAR	 Asia
